frac_pct,n_train,best_test_f_rmse,best_test_f_rmse_step,best_test_f_rmse_stage,best_test_loss,best_test_loss_step,best_test_loss_stage,final_test_f_rmse,final_test_loss
10,335,0.08318483084440231,239,3,6.80380392074585,239,3,0.08320336788892746,6.806096935272217
20,670,0.07995373010635376,239,3,6.3623791270785865,239,3,0.07995869964361191,6.362870004442003
40,1339,0.0747634619474411,239,3,5.590978426091811,239,3,0.07476771622896194,5.591558624716366
50,1673,0.07453858107328415,269,4,5.555978752317882,269,4,0.0745399072766304,5.556173438117618
60,2008,0.07427782565355301,259,4,5.518332138061523,259,4,0.07427995651960373,5.518647212982177
80,2677,0.07570252567529678,249,3,5.737411190481747,249,3,0.0757034569978714,5.737569626639871
100,3346,0.07564660161733627,279,4,5.729396524883452,279,4,0.07564664632081985,5.72940190633138
