# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000007
0.725000 0.000000 -0.000130
0.775000 0.000000 -0.000425
0.825000 0.000069 -0.001355
0.875000 0.001468 -0.002171
0.925000 0.006876 0.001696
0.975000 0.029184 0.017635
1.025000 0.092546 0.081480
1.075000 0.237139 0.243506
1.125000 0.573080 0.595837
1.175000 1.135804 1.199519
1.225000 2.010652 2.041969
1.275000 2.993932 2.997616
1.325000 3.885617 3.869326
1.375000 4.436716 4.377007
1.425000 4.478298 4.363076
1.475000 3.861302 3.838527
1.525000 2.933878 2.970848
1.575000 1.991114 2.028882
1.625000 1.202681 1.250143
1.675000 0.716670 0.735043
1.725000 0.463979 0.479969
1.775000 0.441717 0.429366
1.825000 0.505738 0.496864
1.875000 0.630926 0.628442
1.925000 0.765523 0.765527
1.975000 0.898527 0.882794
2.025000 0.969768 0.958082
2.075000 1.001200 0.997447
2.125000 1.023829 1.033638
2.175000 1.086612 1.105873
2.225000 1.223980 1.229902
2.275000 1.385731 1.384085
2.325000 1.545527 1.533669
2.375000 1.639822 1.643622
2.425000 1.691508 1.684056
2.475000 1.669097 1.646328
2.525000 1.550711 1.559496
2.575000 1.423069 1.438953
2.625000 1.330862 1.319432
2.675000 1.223016 1.234150
2.725000 1.163112 1.173245
2.775000 1.143878 1.129943
2.825000 1.103615 1.105600
2.875000 1.081152 1.084025
2.925000 1.064740 1.062939
2.975000 1.047708 1.047584
3.025000 1.031100 1.034274
3.075000 1.010507 1.014193
3.125000 0.988744 0.975024
3.175000 0.922699 0.914705
3.225000 0.838158 0.852082
3.275000 0.778656 0.790299
3.325000 0.758395 0.740651
3.375000 0.700963 0.706905
3.425000 0.663561 0.670969
3.475000 0.646283 0.633686
3.525000 0.595990 0.601854
3.575000 0.571950 0.570021
3.625000 0.537921 0.540306
3.675000 0.522455 0.519883
3.725000 0.507889 0.508925
3.775000 0.502257 0.506492
3.825000 0.522569 0.514144
3.875000 0.526819 0.537721
3.925000 0.567099 0.563242
3.975000 0.607740 0.597091
4.025000 0.623912 0.639643
4.075000 0.691948 0.683430
4.125000 0.736254 0.736219
4.175000 0.794718 0.801105
4.225000 0.862886 0.859790
4.275000 0.929047 0.920861
4.325000 0.974912 0.981470
4.375000 1.038401 1.043849
4.425000 1.109441 1.108032
4.475000 1.172872 1.167695
4.525000 1.217041 1.210631
4.575000 1.241407 1.250055
4.625000 1.268503 1.276987
4.675000 1.319375 1.302033
4.725000 1.304907 1.317909
4.775000 1.323797 1.315671
4.825000 1.297463 1.294161
4.875000 1.266192 1.269602
4.925000 1.235701 1.239476
4.975000 1.213932 1.216370
5.025000 1.202027 1.193385
5.075000 1.176267 1.180333
5.125000 1.156288 1.165528
5.175000 1.168938 1.156053
5.225000 1.136991 1.148379
5.275000 1.139176 1.127409
5.325000 1.103701 1.098004
5.375000 1.059550 1.075557
5.425000 1.057841 1.055269
5.475000 1.053397 1.049714
5.525000 1.051573 1.057430
5.575000 1.054699 1.052527
5.625000 1.060806 1.043688
5.675000 1.020199 1.039478
5.725000 1.029598 1.036723
5.775000 1.047146 1.029279
5.825000 1.028583 1.024934
5.875000 0.999417 1.012878
5.925000 1.000747 1.002024
5.975000 1.003236 0.997812
6.025000 0.996704 0.993607
6.075000 0.980102 0.981522
6.125000 0.967348 0.967703
6.175000 0.958334 0.962758
6.225000 0.958144 0.956708
6.275000 0.969184 0.961434
6.325000 0.948912 0.967530
6.375000 0.984914 0.966973
6.425000 0.965777 0.965133
6.475000 0.951968 0.963990
6.525000 0.961631 0.956311
6.575000 0.953597 0.949779
6.625000 0.951074 0.944211
6.675000 0.931501 0.948302
6.725000 0.962445 0.970170
6.775000 1.003981 0.988823
6.825000 1.018381 1.003779
6.875000 0.988807 1.010352
6.925000 1.003161 1.005371
6.975000 1.019929 0.999250
7.025000 0.990178 1.002414
7.075000 0.989737 1.000272
7.125000 1.007084 0.991952
7.175000 0.995838 0.991947
7.225000 0.973496 0.990307
7.275000 0.991606 0.989625
7.325000 0.993562 0.982209
7.375000 0.982574 0.976460
7.425000 0.941267 0.961754
7.475000 0.963122 0.953518
7.525000 0.949261 0.951976
7.575000 0.955730 0.949192
7.625000 0.944467 0.942208
7.675000 0.929247 0.945669
7.725000 0.957015 0.947786
7.775000 0.963678 0.955776
7.825000 0.957135 0.968466
7.875000 0.973249 0.973057
7.925000 0.988951 0.978070
7.975000 0.981559 0.988099
8.025000 0.988372 0.993708
8.075000 1.010605 1.002687
8.125000 1.011035 1.012820
8.175000 1.028583 1.028390
8.225000 1.033383 1.043441
8.275000 1.072654 1.060264
8.325000 1.071719 1.072449
8.375000 1.077947 1.080037
8.425000 1.085585 1.082813
8.475000 1.091968 1.100624
8.525000 1.117889 1.122510
8.575000 1.151511 1.135818
8.625000 1.148225 1.143951
8.675000 1.129455 1.147045
8.725000 1.149085 1.147997
8.775000 1.158696 1.149344
8.825000 1.148477 1.144935
8.875000 1.125831 1.134393
8.925000 1.114717 1.116191
8.975000 1.117688 1.107058
9.025000 1.084352 1.100431
9.075000 1.102612 1.089019
9.125000 1.079191 1.078741
9.175000 1.066638 1.081441
9.225000 1.076846 1.073886
9.275000 1.082242 1.064469
9.325000 1.039146 1.044065
9.375000 1.014688 1.026324
9.425000 1.001693 1.004091
9.475000 1.016288 0.995050
9.525000 0.968478 0.991286
9.575000 0.985097 0.975504
9.625000 0.980033 0.969753
9.675000 0.943229 0.972014
9.725000 0.988159 0.959831
9.775000 0.951355 0.953675
9.825000 0.935928 0.952568
9.875000 0.952926 0.945816
9.925000 0.952610 0.950276
9.975000 0.954549 0.948231
10.025000 0.940482 0.944126
10.075000 0.941927 0.953539
10.125000 0.970118 0.968098
10.175000 0.998952 0.984875
10.225000 0.994026 0.997081
10.275000 1.000231 1.007505
10.325000 1.020331 1.025003
10.375000 1.051034 1.049105
10.425000 1.069941 1.060183
10.475000 1.059418 1.054331
10.525000 1.029283 1.037784
10.575000 1.018415 1.022095
10.625000 1.019006 1.016773
10.675000 1.021650 1.024315
10.725000 1.028984 1.031223
10.775000 1.038578 1.027111
10.825000 1.020646 1.016999
10.875000 0.995356 1.008480
10.925000 1.005759 1.009186
10.975000 1.026043 1.024641
11.025000 1.041876 1.035835
11.075000 1.043109 1.032757
11.125000 1.012371 1.022742
11.175000 1.009590 1.014234
11.225000 1.017360 1.017027
11.275000 1.025417 1.026182
11.325000 1.034220 1.023885
11.375000 1.013776 1.011169
11.425000 0.991474 0.999967
11.475000 0.990218 0.997479
11.525000 1.014120 1.010514
11.575000 1.029581 1.027746
11.625000 1.039834 1.029803
11.675000 1.031611 1.031903
11.725000 1.015336 1.041009
11.775000 1.064029 1.048389
11.825000 1.067464 1.051213
11.875000 1.041366 1.047868
11.925000 1.034048 1.046019
11.975000 1.057033 1.050559
